0
H_RS11
LI_MT_RS7
SPAD_RS10
H_RS8
LI_MT_RS8
H_RS9
SPAD_RS11
NN_RS10
LI_MT_RS11
H_RS10
GR_RS9
SD_RS9
LI_MT_VS6
ChrX_44207464
H_RS7
Chr06_10601607
NN_RS11
GR_RS8
GR_RS7
ChrX_44209294
LI_MT_RS9
SD_RS7
LI_MT_RS10
SD_RS8
SD_RS11
GR_RS10
Chr01_19732617
SPAD_VS6
